Div,Date,Time,HomeTeam,AwayTeam,FTHomeGoals,FTAwayGoals,FTResult,HomeShots,AwayShots,HomeYellow,AwayYellow,HomeRed,AwayRed
SP1,11/8/2023,18:30,Almeria,Vallecano,0,2,A,19,10,1,3,0,0
SP1,11/8/2023,21:00,Sevilla,Valencia,1,2,A,9,10,3,2,1,0
SP1,12/8/2023,16:00,Sociedad,Girona,1,1,D,15,6,2,5,0,0
SP1,12/8/2023,18:30,Las Palmas,Mallorca,1,1,D,5,12,3,2,0,0
SP1,12/8/2023,20:30,Ath Bilbao,Real Madrid,0,2,A,7,14,3,1,0,0
SP1,13/08/2023,16:00,Celta,Osasuna,0,2,A,11,11,1,1,0,0
SP1,13/08/2023,18:30,Villarreal,Betis,1,2,A,18,12,1,3,0,0
SP1,13/08/2023,20:30,Getafe,Barcelona,0,0,D,5,14,8,2,1,1
SP1,14/08/2023,18:30,Cadiz,Alaves,1,0,H,12,10,3,2,1,0
SP1,14/08/2023,20:30,Ath Madrid,Granada,3,1,H,14,7,3,1,0,0
SP1,18/08/2023,18:30,Mallorca,Villarreal,0,1,A,8,15,2,4,0,0
SP1,18/08/2023,20:30,Valencia,Las Palmas,1,0,H,9,7,0,0,0,0
SP1,19/08/2023,16:00,Sociedad,Celta,1,1,D,11,17,2,1,0,0
SP1,19/08/2023,18:30,Almeria,Real Madrid,1,3,A,20,24,1,0,0,0
SP1,19/08/2023,20:30,Osasuna,Ath Bilbao,0,2,A,18,8,1,5,1,1
SP1,20/08/2023,18:00,Girona,Getafe,3,0,H,7,9,2,5,0,0
SP1,20/08/2023,18:30,Barcelona,Cadiz,2,0,H,23,10,4,3,0,0
SP1,20/08/2023,20:30,Betis,Ath Madrid,0,0,D,14,5,2,1,0,0
SP1,21/08/2023,18:00,Alaves,Sevilla,4,3,H,14,12,1,2,0,0
SP1,21/08/2023,20:30,Granada,Vallecano,0,2,A,14,17,2,1,1,0
SP1,25/08/2023,18:30,Las Palmas,Sociedad,0,0,D,11,8,1,4,0,0
SP1,25/08/2023,20:30,Celta,Real Madrid,0,1,A,13,10,2,3,0,0
SP1,26/08/2023,18:00,Cadiz,Almeria,1,1,D,11,5,0,5,1,1
SP1,26/08/2023,18:30,Granada,Mallorca,3,2,H,10,10,2,7,0,0
SP1,26/08/2023,20:30,Sevilla,Girona,1,2,A,21,8,2,1,0,0
SP1,27/08/2023,16:30,Villarreal,Barcelona,3,4,A,13,21,3,3,0,0
SP1,27/08/2023,18:30,Valencia,Osasuna,1,2,A,16,7,3,4,0,0
SP1,27/08/2023,20:30,Ath Bilbao,Betis,4,2,H,14,7,4,2,0,0
SP1,28/08/2023,18:30,Getafe,Alaves,1,0,H,15,16,1,2,0,0
SP1,28/08/2023,20:30,Vallecano,Ath Madrid,0,7,A,12,17,4,3,0,0
SP1,1/9/2023,18:30,Cadiz,Villarreal,3,1,H,18,7,5,4,0,1
SP1,1/9/2023,21:00,Almeria,Celta,2,3,A,16,14,1,1,0,0
SP1,2/9/2023,13:00,Sociedad,Granada,5,3,H,15,8,1,5,0,0
SP1,2/9/2023,15:15,Real Madrid,Getafe,2,1,H,26,6,2,6,0,0
SP1,2/9/2023,17:30,Alaves,Valencia,1,0,H,7,9,4,2,0,0
SP1,2/9/2023,20:00,Betis,Vallecano,1,0,H,14,15,3,5,0,0
SP1,3/9/2023,13:00,Girona,Las Palmas,1,0,H,11,10,3,3,0,0
SP1,3/9/2023,15:15,Mallorca,Ath Bilbao,0,0,D,8,11,0,1,0,0
SP1,3/9/2023,20:00,Osasuna,Barcelona,1,2,A,11,9,1,3,1,0
SP1,15/09/2023,20:00,Vallecano,Alaves,2,0,H,20,9,2,3,0,0
SP1,16/09/2023,13:00,Ath Bilbao,Cadiz,3,0,H,20,5,1,4,0,0
SP1,16/09/2023,15:15,Valencia,Ath Madrid,3,0,H,12,11,1,5,0,0
SP1,16/09/2023,17:30,Celta,Mallorca,0,1,A,16,7,1,3,0,0
SP1,16/09/2023,20:00,Barcelona,Betis,5,0,H,17,11,1,2,0,0
SP1,17/09/2023,13:00,Getafe,Osasuna,3,2,H,11,8,6,2,0,0
SP1,17/09/2023,15:15,Villarreal,Almeria,2,1,H,10,17,2,3,0,0
SP1,17/09/2023,17:30,Sevilla,Las Palmas,1,0,H,26,12,3,5,0,0
SP1,17/09/2023,20:00,Real Madrid,Sociedad,2,1,H,17,15,3,2,0,0
SP1,18/09/2023,20:00,Granada,Girona,2,4,A,12,13,3,3,0,0
SP1,22/09/2023,20:00,Alaves,Ath Bilbao,0,2,A,15,11,2,2,0,0
SP1,23/09/2023,13:00,Girona,Mallorca,5,3,H,23,15,1,5,0,0
SP1,23/09/2023,15:15,Osasuna,Sevilla,0,0,D,16,15,2,3,0,0
SP1,23/09/2023,17:30,Barcelona,Celta,3,2,H,15,13,2,1,0,0
SP1,23/09/2023,20:00,Almeria,Valencia,2,2,D,17,7,4,2,0,0
SP1,24/09/2023,13:00,Sociedad,Getafe,4,3,H,10,10,3,2,0,0
SP1,24/09/2023,15:15,Vallecano,Villarreal,1,1,D,11,13,2,3,0,1
SP1,24/09/2023,17:30,Betis,Cadiz,1,1,D,21,5,2,3,0,0
SP1,24/09/2023,17:30,Las Palmas,Granada,1,0,H,10,2,6,4,1,0
SP1,24/09/2023,20:00,Ath Madrid,Real Madrid,3,1,H,10,20,1,3,0,0
SP1,26/09/2023,18:00,Sevilla,Almeria,5,1,H,18,10,3,2,0,0
SP1,26/09/2023,20:30,Mallorca,Barcelona,2,2,D,10,10,4,1,1,0
SP1,27/09/2023,18:00,Ath Bilbao,Getafe,2,2,D,9,13,5,6,1,0
SP1,27/09/2023,18:00,Real Madrid,Las Palmas,2,0,H,21,16,0,1,0,0
SP1,27/09/2023,18:00,Villarreal,Girona,1,2,A,14,17,3,2,0,0
SP1,27/09/2023,20:30,Cadiz,Vallecano,0,0,D,9,9,5,6,0,1
SP1,27/09/2023,20:30,Valencia,Sociedad,0,1,A,9,2,4,7,1,0
SP1,28/09/2023,18:00,Celta,Alaves,1,1,D,8,21,5,3,1,0
SP1,28/09/2023,18:00,Granada,Betis,1,1,D,19,13,2,1,0,0
SP1,28/09/2023,20:30,Osasuna,Ath Madrid,0,2,A,13,4,3,3,1,1
SP1,29/09/2023,20:00,Barcelona,Sevilla,1,0,H,18,12,2,3,0,0
SP1,30/09/2023,13:00,Getafe,Villarreal,0,0,D,22,3,2,4,0,1
SP1,30/09/2023,15:15,Vallecano,Mallorca,2,2,D,19,9,2,5,0,0
SP1,30/09/2023,17:30,Girona,Real Madrid,0,3,A,13,14,2,2,0,1
SP1,30/09/2023,20:00,Sociedad,Ath Bilbao,3,0,H,8,18,2,2,0,0
SP1,1/10/2023,13:00,Almeria,Granada,3,3,D,17,19,2,1,0,0
SP1,1/10/2023,15:15,Alaves,Osasuna,0,2,A,17,10,2,3,1,0
SP1,1/10/2023,20:00,Ath Madrid,Cadiz,3,2,H,18,8,1,3,0,0
SP1,1/10/2023,20:00,Betis,Valencia,3,0,H,15,9,2,2,0,0
SP1,2/10/2023,20:00,Las Palmas,Celta,2,1,H,16,11,2,1,0,0
SP1,6/10/2023,20:00,Ath Bilbao,Almeria,3,0,H,23,4,2,0,0,0
SP1,7/10/2023,13:00,Cadiz,Girona,0,1,A,8,20,1,3,1,0
SP1,7/10/2023,15:15,Real Madrid,Osasuna,4,0,H,19,7,2,2,0,0
SP1,7/10/2023,17:30,Mallorca,Valencia,1,1,D,9,11,2,1,0,0
SP1,7/10/2023,20:00,Sevilla,Vallecano,2,2,D,22,7,5,2,0,0
SP1,8/10/2023,13:00,Villarreal,Las Palmas,1,2,A,9,8,4,4,0,0
SP1,8/10/2023,15:15,Ath Madrid,Sociedad,2,1,H,14,13,3,3,0,0
SP1,8/10/2023,17:30,Alaves,Betis,1,1,D,15,6,3,3,0,1
SP1,8/10/2023,17:30,Celta,Getafe,2,2,D,26,3,1,8,0,1
SP1,8/10/2023,20:00,Granada,Barcelona,2,2,D,7,22,4,1,0,0
SP1,20/10/2023,20:00,Osasuna,Granada,2,0,H,12,13,3,4,0,1
SP1,21/10/2023,13:00,Sociedad,Mallorca,1,0,H,14,18,3,3,0,0
SP1,21/10/2023,15:15,Getafe,Betis,1,1,D,14,13,5,2,0,0
SP1,21/10/2023,17:30,Sevilla,Real Madrid,1,1,D,17,14,5,2,0,0
SP1,21/10/2023,20:00,Celta,Ath Madrid,0,3,A,16,12,3,2,1,0
SP1,22/10/2023,13:00,Las Palmas,Vallecano,0,1,A,12,12,4,3,0,1
SP1,22/10/2023,15:15,Girona,Almeria,5,2,H,19,9,1,2,0,0
SP1,22/10/2023,17:30,Villarreal,Alaves,1,1,D,12,16,4,3,0,0
SP1,22/10/2023,20:00,Barcelona,Ath Bilbao,1,0,H,12,10,3,3,0,0
SP1,23/10/2023,20:00,Valencia,Cadiz,2,0,H,12,5,0,3,0,1
SP1,27/10/2023,20:00,Girona,Celta,1,0,H,12,4,3,2,0,0
SP1,28/10/2023,13:00,Almeria,Las Palmas,1,2,A,10,10,3,1,0,0
SP1,28/10/2023,15:15,Barcelona,Real Madrid,1,2,A,15,13,2,1,0,0
SP1,28/10/2023,17:30,Mallorca,Getafe,0,0,D,15,8,0,1,0,0
SP1,28/10/2023,20:00,Cadiz,Sevilla,2,2,D,10,20,6,4,0,0
SP1,29/10/2023,13:00,Betis,Osasuna,2,1,H,9,7,3,4,0,0
SP1,29/10/2023,15:15,Vallecano,Sociedad,2,2,D,16,15,3,2,0,0
SP1,29/10/2023,17:30,Ath Bilbao,Valencia,2,2,D,12,11,3,1,0,0
SP1,29/10/2023,20:00,Ath Madrid,Alaves,2,1,H,11,8,3,2,0,0
SP1,30/10/2023,20:00,Granada,Villarreal,2,3,A,18,6,0,4,0,0
SP1,3/11/2023,20:00,Las Palmas,Ath Madrid,2,1,H,9,13,0,3,0,0
SP1,4/11/2023,13:00,Osasuna,Girona,2,4,A,15,11,5,3,0,0
SP1,4/11/2023,15:15,Betis,Mallorca,2,0,H,22,8,1,4,0,1
SP1,4/11/2023,17:30,Celta,Sevilla,1,1,D,15,13,2,5,1,0
SP1,4/11/2023,20:00,Sociedad,Barcelona,0,1,A,13,12,3,3,0,0
SP1,5/11/2023,13:00,Alaves,Almeria,1,0,H,23,9,2,3,0,0
